ip,group
1.0.0.3,family.cloudflare-dns.com Cloudflare  Inc. 
109.24.72.75,(.*) Blue Coat (.*) Series (.*)
116.12.51.216,116.12.51.216 Home
116.202.23.68,dns.wtfserver.org
12.20.116.227,.snapon.com Snap-on Incorporated
129.152.20.42,gfaindustry.it
132.226.251.219,.7sec.com.br
142.147.91.99,dns.sb
144.160.233.141,sspdev.test.att.com AT&T Services  Inc. 
146.19.14.96,dns.nextdns.io
152.70.185.110,dns.osmenoga.com
162.219.50.12,dns.cira.ca Canadian Internet Registration Authority
176.125.239.13,ecdsa.controld.dev
176.125.239.2,ecdsa.controld.dev
176.125.239.37,ecdsa.controld.dev
18.200.70.220,dns.bitservices.io
185.137.82.49,www.zwitserleven.nl Athora Netherlands N.V.
203.180.146.14,.dns.iij.jp Internet Initiative Japan Inc.
207.246.87.96,plan9-dns.com
211.57.175.236,.22h.be
216.145.223.15,doh.mimecast-pscom-us.com
23.159.160.55,.doh.sb
23.247.213.67,dns.nextdns.io
23.247.214.203,dns.nextdns.io
23.247.215.91,dns.nextdns.io
35.220.190.209,hk2.dzw.io
41.231.54.191,dns.nextdns.io
45.33.112.210,whatcaniplay.com
45.90.28.148,dns.nextdns.io
45.90.28.251,dns.nextdns.io
45.90.29.155,dns.nextdns.io
45.90.30.103,dns.nextdns.io
45.90.30.219,dns.nextdns.io
45.90.31.128,dns.nextdns.io
45.90.31.6,dns.nextdns.io
49.0.240.27,.ggdns.club
54.252.78.173,AWS EC2 (.*)
74.80.109.196,doh.dns.apple.com Apple Inc. management
74.80.87.196,doh.dns.apple.com Apple Inc. management
75.75.77.43,doh.xfinity.com Comcast Corporation
76.76.2.103,ecdsa.controld.com
76.76.2.144,ecdsa.controld.com
76.76.2.32,ecdsa.controld.com
76.76.2.99,ecdsa.controld.com
8.224.34.74,ns3.i-evolve.net
91.212.238.8,.atractive.com ATR
101.100.188.23,.myrepublic.com.sg
121.51.163.73,(.*) Tencent (.*) (.*) Company Limited
129.146.231.148,bcfv.org
13.213.19.216,AWS EC2 (.*)
138.197.176.143,slb-de.dnsflex.com
140.83.87.48,hellojonathan.xyz
144.160.36.42,att.com AT&T Services  Inc. 
146.112.41.3,doh.opendns.com Cisco OpenDNS LLC
152.70.218.58,.dns.inforlogia.com
167.212.16.136,correspond.broadridge.com Broadridge Financial Solutions  Inc. 
176.103.134.149,.adguard.ch
176.125.239.177,ecdsa.controld.dev
176.125.239.237,ecdsa.controld.dev
176.125.239.66,ecdsa.controld.dev
178.62.219.158,doh1.oniprojekt.ninja
185.137.82.39,unknown
185.137.83.14,Verintapp-tst.vivat.nl Athora Netherlands N.V.
188.165.20.42,doh.xcom.pro
193.135.143.194,dox-s.swisscom.ch Swisscom Schweiz AG
195.211.5.199,.otlnal.ru
200.25.15.76,dns.nextdns.io
203.180.146.25,.dns.iij.jp Internet Initiative Japan Inc.
212.6.44.122,ns3.com
23.247.212.1,dns.nextdns.io
23.247.212.186,dns.nextdns.io
23.247.212.64,dns.nextdns.io
23.247.213.211,dns.nextdns.io
23.247.214.113,dns.nextdns.io
23.247.214.46,dns.nextdns.io
23.247.215.250,dns.nextdns.io
34.116.208.218,dns.maciejek997.tk
43.155.116.92,.san.xin 广州三新实业有限公司
45.90.28.236,dns.nextdns.io
45.90.29.19,dns.nextdns.io
45.90.30.186,dns.nextdns.io
45.90.31.126,dns.nextdns.io
45.90.31.58,dns.nextdns.io
47.87.182.80,virmach.chinese-paladin.online
62.113.119.138,.ssdns.ru
75.75.77.24,doh.xfinity.com Comcast Corporation
76.76.10.102,ecdsa.controld.com
76.76.10.123,ecdsa.controld.com
76.76.10.165,ecdsa.controld.com
76.76.10.206,ecdsa.controld.com
76.76.10.26,ecdsa.controld.com
76.76.10.97,ecdsa.controld.com
76.76.2.196,ecdsa.controld.com
76.76.2.40,ecdsa.controld.com
80.124.140.142,(.*) Blue Coat (.*) Series (.*)
80.125.181.179,pates.services.sfr.fr.casepp.sfr.fr SFR 0002 34305956400959
101.102.103.104,101.101.101.101 Taiwan Network Information Center
12.149.68.131,.intervalintl.com Marriott Vacations Worldwide Corporation
12.20.117.191,.snapon.com Snap-on Incorporated
144.160.219.129,localhost.localdomain MyCompany IT
144.160.233.86,awm.teleconference.att.com AT&T Services  Inc. 
146.112.41.2,doh.opendns.com Cisco OpenDNS LLC
146.19.14.125,dns.nextdns.io
146.19.14.175,dns.nextdns.io
146.19.14.223,dns.nextdns.io
146.19.14.55,dns.nextdns.io
150.129.18.27,fwd-local-03.max.net.id
152.70.189.89,.888654.xyz
17.253.24.213,doh.dns.apple.com Apple Inc. management
193.135.143.13,dox-s.swisscom.ch Swisscom Schweiz AG
194.29.100.68,au.teradns.org
203.180.146.27,.dns.iij.jp Internet Initiative Japan Inc.
209.233.174.141,nsymphl.solanocounty.com Solano County
210.130.0.1,.dns.iij.jp Internet Initiative Japan Inc.
23.247.212.138,dns.nextdns.io
23.247.213.168,dns.nextdns.io
23.247.214.146,dns.nextdns.io
23.247.214.251,dns.nextdns.io
23.247.215.239,dns.nextdns.io
31.216.14.42,ns4.highnet.com
41.76.44.107,www.mcbgroupboard.online MCB Group Limited
45.90.29.156,dns.nextdns.io
45.90.29.58,dns.nextdns.io
45.90.30.210,dns.nextdns.io
45.90.31.140,dns.nextdns.io
45.90.31.66,dns.nextdns.io
51.143.8.79,dns.hyas.com HYAS InfoSec Inc
63.246.37.150,doh.dns.apple.com Apple Inc. management
76.76.2.116,ecdsa.controld.com
76.76.2.177,ecdsa.controld.com
76.76.2.60,ecdsa.controld.com
79.143.240.81,resolver3.absolight.net
80.76.208.90,dns1.academicanalytical.com
88.202.239.100,nsag.auditiongineys.fr
9.9.9.10,.quad9.net Quad9
101.198.191.134,doh.360.cn
144.160.107.173,xpayuapi.stage.att.com AT&T Services  Inc. 
144.160.233.105,testmc.att.com AT&T Services  Inc. 
154.209.75.15,dns.jiyi.eu
167.16.33.156,adapters-ofx-cert-ql3.onefiserv.net Fiserv  Inc. 
168.119.162.114,ag01.de.hallmen.it
173.255.58.15,public.payment.uscis.dhs.gov U.S. Citizenship and Immigration Services
193.122.96.153,ns1.qquack.org
193.190.182.53,dns.belnet.be Réseau Télématique Belge de la Recherche Belnet Services
198.211.45.56,la.168888.ga
202.61.237.142,ns2.pongohub.com
209.243.7.95,acts-horizon.com
210.130.0.61,.dns.iij.jp Internet Initiative Japan Inc.
213.250.27.13,.acer.europa.eu Agency for the Cooperation of Energy Regulators ACER
217.173.235.72,.fl1.li Telecom Liechtenstein AG
223.167.166.103,doh.360.cn
23.247.213.148,dns.nextdns.io
23.247.213.37,dns.nextdns.io
23.247.214.236,dns.nextdns.io
23.247.215.233,dns.nextdns.io
34.107.54.95,dns2.mulej.net
40.112.67.88,piholedot.northeurope.cloudapp.azure.com
45.45.178.177,CloudFlare Origin Certificate CloudFlare  Inc. CloudFlare Origin CA 
