ip,pk_raw_hash,pk_size,pk_sig_algo,subject
1.0.0.3,3f4f958a15d5df6d1e4f19c02fd59893a9566df5,256,b'ecdsa-with-SHA384',family.cloudflare-dns.com; Cloudflare  Inc.; 
109.24.72.75,2b45010517ec6083bf27f6101e71b9ee14eb5168,2048,b'sha256WithRSAEncryption',10.255.10.11; Blue Coat SG-S200 Series; 0920330021; 
116.12.51.216,4547ea2a83e895e2176802bd650837f1b0f21126,2048,b'sha256WithRSAEncryption',116.12.51.216; Home; 
116.202.23.68,60f23c29759d4e9e814f818419d92940e00e374a,2048,b'sha256WithRSAEncryption',dns.wtfserver.org; 
12.20.116.227,40efa7070d91bcad61fca0ef1296510e62d6dd2b,2048,b'sha256WithRSAEncryption',*.snapon.com; Snap-on Incorporated; 
129.152.20.42,8c3f608d1c37d32fa2dc817e06d16e9e51f8269d,4096,b'sha256WithRSAEncryption',gfaindustry.it; 
132.226.251.219,fbce5114b9b1db39af6810b770667fdb04bebaf5,256,b'sha256WithRSAEncryption',*.7sec.com.br; 
142.147.91.99,6623ccfaa270cdd7712f74296b2d3a5097d433cd,256,b'ecdsa-with-SHA384',dns.sb; 
144.160.233.141,2f76e0b847193516e2ce38ecdc06b4b93a0f9f0f,2048,b'sha256WithRSAEncryption',sspdev.test.att.com; AT&T Services  Inc.; 
146.19.14.96,3ede64aa6b263a02118a3d238531a4f4537d90a5,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
152.70.185.110,5bef4118ffbedc5a05701a47b7975fa5de75d4a9,2048,b'sha256WithRSAEncryption',dns.osmenoga.com; 
162.219.50.12,f4b555c93b7f7ad759d298c4c5e2c2c74c0af735,2048,b'sha256WithRSAEncryption',dns.cira.ca; Canadian Internet Registration Authority; 
176.125.239.13,a97a43bbecfbe91f6c045b214d0d69d248d505d5,256,b'ecdsa-with-SHA384',ecdsa.controld.dev; 
176.125.239.2,a97a43bbecfbe91f6c045b214d0d69d248d505d5,256,b'ecdsa-with-SHA384',ecdsa.controld.dev; 
176.125.239.37,a97a43bbecfbe91f6c045b214d0d69d248d505d5,256,b'ecdsa-with-SHA384',ecdsa.controld.dev; 
18.200.70.220,65432c94a755111bda1ccaaf4b9c1125ea269cf6,2048,b'sha256WithRSAEncryption',dns.bitservices.io; 
185.137.82.49,7b6f93a8464f00e2b3fcb7599cf892a53383f19b,2048,b'sha256WithRSAEncryption',www.zwitserleven.nl; Athora Netherlands N.V.; 
203.180.146.14,47f7bbbd0394cfadcf770df13dfd7a0f0227b0f5,256,b'ecdsa-with-SHA384',*.dns.iij.jp; Internet Initiative Japan Inc.; 
207.246.87.96,c9abe797308724df013d4fcbab5338b731eaf114,256,b'ecdsa-with-SHA384',plan9-dns.com; 
211.57.175.236,8c2f489b494f8e6f3e0b9f9b38327a1deae87ff6,2048,b'sha256WithRSAEncryption',*.22h.be; 
216.145.223.15,c0d64732fbe876725b69800833efbd701f224f7a,2048,b'sha256WithRSAEncryption',doh.mimecast-pscom-us.com; 
23.159.160.55,c0021488efc1501a85000b38c33856a7506df974,256,b'sha256WithRSAEncryption',*.doh.sb; 
23.247.213.67,3ede64aa6b263a02118a3d238531a4f4537d90a5,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.214.203,3ede64aa6b263a02118a3d238531a4f4537d90a5,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.215.91,3ede64aa6b263a02118a3d238531a4f4537d90a5,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
35.220.190.209,50b831a444d984c982ab5b5ee5ee9ef4a6e8ea01,2048,b'sha256WithRSAEncryption',hk2.dzw.io; 
41.231.54.191,3ede64aa6b263a02118a3d238531a4f4537d90a5,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.33.112.210,7856fafcc362890b01d4defaddc6507345b9491a,2048,b'sha256WithRSAEncryption',whatcaniplay.com; 
45.90.28.148,3ede64aa6b263a02118a3d238531a4f4537d90a5,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.28.251,3ede64aa6b263a02118a3d238531a4f4537d90a5,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.29.155,3ede64aa6b263a02118a3d238531a4f4537d90a5,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.30.103,3ede64aa6b263a02118a3d238531a4f4537d90a5,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.30.219,3ede64aa6b263a02118a3d238531a4f4537d90a5,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.31.128,3ede64aa6b263a02118a3d238531a4f4537d90a5,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.31.6,3ede64aa6b263a02118a3d238531a4f4537d90a5,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
49.0.240.27,424a757bcb57deb855804df433845b9531f390a9,2048,b'sha256WithRSAEncryption',*.ggdns.club; 
74.80.109.196,15ad8735160361baf693810d24f976fff944e56b,256,b'ecdsa-with-SHA256',doh.dns.apple.com; Apple Inc.; management:idms.group.665035; 
74.80.87.196,15ad8735160361baf693810d24f976fff944e56b,256,b'ecdsa-with-SHA256',doh.dns.apple.com; Apple Inc.; management:idms.group.665035; 
75.75.77.43,86114e16ef766e272e0952d40c181d3e5cf3d2fa,2048,b'sha256WithRSAEncryption',doh.xfinity.com; Comcast Corporation; 
76.76.2.103,14b322e5c5e09b10446aca0e1a60c4e485b8e223,256,b'ecdsa-with-SHA384',ecdsa.controld.com; 
76.76.2.144,14b322e5c5e09b10446aca0e1a60c4e485b8e223,256,b'ecdsa-with-SHA384',ecdsa.controld.com; 
76.76.2.32,14b322e5c5e09b10446aca0e1a60c4e485b8e223,256,b'ecdsa-with-SHA384',ecdsa.controld.com; 
76.76.2.99,14b322e5c5e09b10446aca0e1a60c4e485b8e223,256,b'ecdsa-with-SHA384',ecdsa.controld.com; 
8.224.34.74,7c1f0c111e11bee30191800dd94cfab53638e775,2048,b'sha256WithRSAEncryption',ns3.i-evolve.net; 
91.212.238.8,7142f09ea303944f48be3e3b5496b04337962905,4096,b'sha256WithRSAEncryption',*.atractive.com; ATR; 
101.100.188.23,703790851260622be9c3f2e9e6779e049420920f,2048,b'sha256WithRSAEncryption',*.myrepublic.com.sg; 
121.51.163.73,95e0919180c13e025f7a78334c009542aa184f1f,256,b'ecdsa-with-SHA256',119.29.29.99; Tencent Technology (Shenzhen) Company Limited; 
129.146.231.148,9f11f7b7a83e157b793b58585ff56aadde942a2f,2048,b'sha256WithRSAEncryption',bcfv.org; 
13.213.19.216,326f3410063ff53ec8cbe1fa630a85ecd93b9f35,2048,b'sha256WithRSAEncryption',dns.chinh.tk; 
