ip,group
102.68.86.68,dns.nextdns.io
23.247.212.47,dns.nextdns.io
23.247.213.237,dns.nextdns.io
23.247.214.241,dns.nextdns.io
23.247.215.17,dns.nextdns.io
45.90.28.112,dns.nextdns.io
45.90.28.119,dns.nextdns.io
45.90.28.146,dns.nextdns.io
45.90.28.166,dns.nextdns.io
45.90.28.196,dns.nextdns.io
45.90.28.242,dns.nextdns.io
45.90.28.38,dns.nextdns.io
45.90.29.1,dns.nextdns.io
45.90.29.246,dns.nextdns.io
45.90.30.30,dns.nextdns.io
45.90.31.168,dns.nextdns.io
103.13.114.172,dns.nextdns.io
203.76.245.200,dns.nextdns.io
23.247.212.129,dns.nextdns.io
23.247.213.0,dns.nextdns.io
23.247.213.214,dns.nextdns.io
23.247.214.13,dns.nextdns.io
23.247.214.58,dns.nextdns.io
23.247.215.205,dns.nextdns.io
37.252.253.63,dns.nextdns.io
45.90.29.45,dns.nextdns.io
45.90.30.143,dns.nextdns.io
45.90.30.51,dns.nextdns.io
45.90.31.183,dns.nextdns.io
45.90.31.98,dns.nextdns.io
208.72.155.33,dns.nextdns.io
23.247.212.37,dns.nextdns.io
23.247.213.245,dns.nextdns.io
23.247.214.147,dns.nextdns.io
23.247.215.172,dns.nextdns.io
45.90.28.237,dns.nextdns.io
45.90.28.40,dns.nextdns.io
45.90.29.111,dns.nextdns.io
45.90.29.234,dns.nextdns.io
45.90.30.238,dns.nextdns.io
45.90.31.164,dns.nextdns.io
155.138.130.135,dns.nextdns.io
23.247.212.116,dns.nextdns.io
23.247.212.233,dns.nextdns.io
23.247.213.194,dns.nextdns.io
23.247.214.101,dns.nextdns.io
23.247.214.26,dns.nextdns.io
23.247.215.44,dns.nextdns.io
45.90.29.150,dns.nextdns.io
45.90.29.36,dns.nextdns.io
45.90.31.124,dns.nextdns.io
45.90.31.37,dns.nextdns.io
194.182.182.199,dns.nextdns.io
23.247.212.159,dns.nextdns.io
23.247.213.128,dns.nextdns.io
23.247.213.38,dns.nextdns.io
23.247.214.254,dns.nextdns.io
23.247.215.193,dns.nextdns.io
45.90.29.152,dns.nextdns.io
45.90.30.103,dns.nextdns.io
45.90.30.166,dns.nextdns.io
45.90.30.79,dns.nextdns.io
45.90.31.212,dns.nextdns.io
200.25.15.76,dns.nextdns.io
23.247.212.188,dns.nextdns.io
23.247.213.145,dns.nextdns.io
23.247.213.56,dns.nextdns.io
23.247.214.39,dns.nextdns.io
23.247.215.203,dns.nextdns.io
37.252.225.79,dns.nextdns.io
45.90.29.3,dns.nextdns.io
45.90.30.54,dns.nextdns.io
45.90.31.179,dns.nextdns.io
173.230.140.85,.squallatf.info
23.247.212.152,dns.nextdns.io
23.247.213.135,dns.nextdns.io
23.247.213.39,dns.nextdns.io
23.247.214.3,dns.nextdns.io
23.247.215.42,dns.nextdns.io
45.90.29.160,dns.nextdns.io
45.90.29.99,dns.nextdns.io
45.90.31.134,dns.nextdns.io
45.90.31.51,dns.nextdns.io
23.247.213.179,dns.nextdns.io
23.247.213.90,dns.nextdns.io
23.247.214.252,dns.nextdns.io
23.247.215.250,dns.nextdns.io
45.90.29.126,dns.nextdns.io
45.90.29.78,dns.nextdns.io
45.90.30.62,dns.nextdns.io
45.90.31.29,dns.nextdns.io
185.10.16.125,dns.nextdns.io
23.247.212.198,dns.nextdns.io
23.247.212.98,dns.nextdns.io
23.247.213.6,dns.nextdns.io
23.247.214.59,dns.nextdns.io
23.247.215.64,dns.nextdns.io
45.90.29.18,dns.nextdns.io
45.90.29.53,dns.nextdns.io
45.90.30.90,dns.nextdns.io
45.90.31.223,dns.nextdns.io
185.135.86.57,dns.nextdns.io
23.247.212.142,dns.nextdns.io
23.247.213.111,dns.nextdns.io
23.247.213.235,dns.nextdns.io
23.247.214.16,dns.nextdns.io
23.247.215.168,dns.nextdns.io
23.247.215.81,dns.nextdns.io
45.90.28.164,dns.nextdns.io
45.90.28.192,dns.nextdns.io
