ip,group
135.125.236.63,dns.eliatofani.it
172.105.52.109,adguard.avdkishore.dev
208.72.155.33,dns.nextdns.io
23.247.213.11,dns.nextdns.io
23.247.214.224,dns.nextdns.io
34.175.50.210,feifei200x10.cf
45.90.29.126,dns.nextdns.io
45.90.30.36,dns.nextdns.io
47.108.239.160,zeroclover.net
91.97.220.254,.reiqu.de
145.239.31.39,dns.rafal.top
148.163.223.148,(.*) deSEC autocert
161.35.115.126,myadguardhome.me
200.25.45.97,dns.nextdns.io
23.247.212.99,dns.nextdns.io
23.247.214.23,dns.nextdns.io
3.7.32.36,dns.aman.ltd
45.90.28.221,dns.nextdns.io
45.90.30.126,dns.nextdns.io
45.90.31.228,dns.nextdns.io
103.150.197.153,quic.pintukaca.my.id
124.223.59.129,.iqiq.io
157.245.216.89,cristianocosta.me
200.25.70.69,dns.nextdns.io
23.247.213.161,dns.nextdns.io
23.247.214.65,dns.nextdns.io
45.90.28.197,dns.nextdns.io
45.90.30.137,dns.nextdns.io
45.90.31.160,dns.nextdns.io
85.214.38.10,adguard.netmasc.services
199.119.65.94,dns.nextdns.io
23.247.213.124,dns.nextdns.io
23.247.214.20,dns.nextdns.io
23.247.215.86,dns.nextdns.io
45.90.28.81,dns.nextdns.io
45.90.30.152,dns.nextdns.io
45.90.31.171,dns.nextdns.io
89.22.237.91,.sergeysedoy97.ru
140.82.31.204,dns.marsnet.xyz
146.19.14.88,dns.nextdns.io
23.247.212.117,dns.nextdns.io
23.247.213.156,dns.nextdns.io
23.247.214.40,dns.nextdns.io
37.123.196.29,nextdark.top
45.90.29.163,dns.nextdns.io
45.90.30.77,dns.nextdns.io
79.133.122.222,vpn.dzarlax.dev
146.19.14.43,dns.nextdns.io
192.73.248.70,(.*) deSEC autocert
217.146.30.7,dns.nextdns.io
23.247.213.154,dns.nextdns.io
23.247.214.179,dns.nextdns.io
23.247.215.201,dns.nextdns.io
45.90.28.176,dns.nextdns.io
45.90.29.217,dns.nextdns.io
45.90.31.161,dns.nextdns.io
102.223.181.112,authorized.analyticsteam-zuerich.it-sicherheitsanalyse.ch
146.19.14.29,dns.nextdns.io
23.247.212.195,dns.nextdns.io
23.247.213.217,dns.nextdns.io
23.247.215.120,dns.nextdns.io
45.121.208.210,dns.nextdns.io
45.90.29.183,dns.nextdns.io
45.90.30.71,dns.nextdns.io
81.71.73.142,cattery2.noddos.top
146.19.14.125,dns.nextdns.io
178.128.55.111,loli.sektehalodavid.click
23.247.212.167,dns.nextdns.io
23.247.213.32,dns.nextdns.io
23.247.215.11,dns.nextdns.io
45.141.136.122,dns.xinwujiang.cn
45.90.29.52,dns.nextdns.io
45.90.31.91,dns.nextdns.io
143.198.153.252,dns.roland.codes
146.19.14.57,dns.nextdns.io
206.189.102.4,.16112021.xyz
23.247.212.253,dns.nextdns.io
23.247.214.136,dns.nextdns.io
23.247.215.249,dns.nextdns.io
45.90.28.215,dns.nextdns.io
45.90.29.69,dns.nextdns.io
45.90.31.216,dns.nextdns.io
103.186.204.4,doh.afna.link
130.162.41.194,.dns3.h0schi.cloud
146.19.14.22,dns.nextdns.io
176.125.239.22,ecdsa.controld.dev
23.247.212.165,dns.nextdns.io
23.247.213.3,dns.nextdns.io
23.247.215.108,dns.nextdns.io
43.129.190.8,.passcloud.xyz
45.159.249.102,dns.baabab.com
45.90.28.83,dns.nextdns.io
45.90.30.22,dns.nextdns.io
8.39.235.108,dns.nextdns.io
146.19.14.146,dns.nextdns.io
20.170.7.23,adguard-dns.turker.info
23.247.212.45,dns.nextdns.io
23.247.214.195,dns.nextdns.io
31.13.195.65,dns.dns-ddoadm.tk
45.90.28.12,dns.nextdns.io
45.90.29.37,dns.nextdns.io
45.90.31.14,dns.nextdns.io
8.219.12.39,gacdrive.com
162.19.158.79,ads-eu.landgame.net
200.25.27.29,dns.nextdns.io
23.247.213.120,dns.nextdns.io
23.247.214.41,dns.nextdns.io
45.90.28.113,dns.nextdns.io
45.90.29.202,nextdns  Inc
47.115.221.4,.ipv4dns.com
103.62.50.101,dns.nextdns.io
146.19.14.20,dns.nextdns.io
