ip,pk_raw_hash,pk_size,pk_sig_algo,subject
135.125.236.63,95007024acefa6a803cf369499849b25abffa0ed,2048,b'sha256WithRSAEncryption',dns.eliatofani.it; 
172.105.52.109,10273b901aefc2714781ffd262834a9b2af29d3a,2048,b'sha256WithRSAEncryption',adguard.avdkishore.dev; 
208.72.155.33,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.213.11,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.214.224,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
34.175.50.210,c36d42bc3b1b53357669fcf109d5cc8c4a82e74a,2048,b'sha384WithRSAEncryption',feifei200x10.cf; 
45.90.29.126,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.30.36,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
47.108.239.160,5a3ed95b4bde414c55c6f3199fa8c44fbe4f3323,256,b'sha256WithRSAEncryption',zeroclover.net; 
91.97.220.254,6d1e27ae791c0ceca86d2ac86ec636142ad81833,2048,b'sha256WithRSAEncryption',*.reiqu.de; 
145.239.31.39,8dec77355e3b362d96ceea727240c1e22efa39f5,2048,b'sha256WithRSAEncryption',dns.rafal.top; 
148.163.223.148,eb5bcfb6fe6d43c65d5ef15b98298dba0b167df1,256,b'ecdsa-with-SHA256',ns2.desec.org; deSEC; autocert; 
161.35.115.126,03e861416c76aa6358fd37c682225a77f3b9ada1,2048,b'sha256WithRSAEncryption',myadguardhome.me; 
200.25.45.97,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.212.99,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.214.23,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
3.7.32.36,846d1c51c07ab045cc78922c01f83c396c69537a,2048,b'sha256WithRSAEncryption',dns.aman.ltd; 
45.90.28.221,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.30.126,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.31.228,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
103.150.197.153,a01a746dfd0992b6491a3314023e45176029631e,384,b'sha256WithRSAEncryption',quic.pintukaca.my.id; 
124.223.59.129,a424d19923e8fc74e84071eb61086c3ac4d98f5f,256,b'ecdsa-with-SHA256',*.iqiq.io; 
157.245.216.89,7e0682df70227d7a0e28945651119fc5d4f736ff,2048,b'sha256WithRSAEncryption',cristianocosta.me; 
200.25.70.69,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.213.161,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.214.65,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.28.197,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.30.137,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.31.160,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
85.214.38.10,0e2265babc172f63d026d16466a456b2e17c0074,2048,b'sha256WithRSAEncryption',adguard.netmasc.services; 
199.119.65.94,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.213.124,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.214.20,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.215.86,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.28.81,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.30.152,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.31.171,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
89.22.237.91,8b9558d924ff6aa5d34a4feeecc870c367ac8b64,384,b'sha256WithRSAEncryption',*.sergeysedoy97.ru; 
140.82.31.204,1a2d3c2a6f05adc2381767550d2042d67b8a603d,2048,b'sha256WithRSAEncryption',dns.marsnet.xyz; 
146.19.14.88,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.212.117,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.213.156,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.214.40,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
37.123.196.29,32c3331d2e59d0232071ef13394c36b05718603f,2048,b'sha256WithRSAEncryption',nextdark.top; 
45.90.29.163,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.30.77,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
79.133.122.222,0ba673889b1f9e57986eeabc4251f1c35075b10e,2048,b'sha256WithRSAEncryption',vpn.dzarlax.dev; 
146.19.14.43,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
192.73.248.70,b423725a6e907b19db7981696b3da47c8e47e538,256,b'ecdsa-with-SHA256',ns1.desec.io; deSEC; autocert; 
217.146.30.7,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.213.154,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.214.179,e5085fa0a18e422540172ac024ff1d3decb5e922,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
