ip,group
103.94.206.251,(.*) Fortinet FortiGate
153.136.116.228,(.*) Fortinet FortiGate
140.83.48.175,Oracle Cloud Infrastructure (.*)
211.212.232.42,com.apple.dnssd-proxy (.*) Apple Inc. Networking
61.246.118.46,(.*) Fortinet FortiGate
138.2.44.85,Oracle Cloud Infrastructure (.*)
23.247.214.247,dns.nextdns.io
213.57.70.246,(.*) Fortinet FortiGate
77.137.111.232,(.*) Fortinet FortiGate
213.210.247.124,(.*) Fortinet FortiGate
165.22.222.240,d0.vikasraturi.com
212.45.67.48,.carbg.com
78.189.48.115,(.*) Fortinet FortiGate
45.90.29.92,dns.nextdns.io
45.90.30.186,dns.nextdns.io
23.247.215.198,dns.nextdns.io
140.238.58.126,Oracle Cloud Infrastructure (.*)
103.94.206.60,(.*) Fortinet FortiGate
61.255.202.49,com.apple.dnssd-proxy (.*) Apple Inc. Networking
139.5.252.2,pat-sify-bngs-01
136.228.40.122,(.*) Fortinet FortiGate
62.14.46.178,(.*) Fortinet FortiGate
3.226.121.131,na.online-panel.advertising.amazon.dev
129.236.219.251,com.apple.dnssd-proxy (.*) Apple Inc. Networking
136.144.60.227,dns1.eerodns.com
109.5.33.186,(.*) Fortinet FortiGate
85.24.198.53,com.apple.dnssd-proxy (.*) Apple Inc. Networking
61.95.143.51,(.*) Fortinet FortiGate
172.245.131.21,.mrps.in
152.67.117.173,Oracle Cloud Infrastructure (.*)
103.59.72.250,tsbkn-ai1
47.241.97.81,dns.jcpumiao.com
77.137.105.132,(.*) Fortinet FortiGate
77.137.105.147,(.*) Fortinet FortiGate
172.64.37.60,Cloudflare
121.125.112.107,com.apple.dnssd-proxy (.*) Apple Inc. Networking
61.99.203.42,com.apple.dnssd-proxy (.*) Apple Inc. Networking
121.152.48.29,Kornet
185.175.49.183,dns1.eerodns.com
213.57.70.223,(.*) Fortinet FortiGate
85.197.178.193,com.apple.dnssd-proxy (.*) Apple Inc. Networking
37.120.187.95,adg.sebastian-bunse.de
23.247.215.112,dns.nextdns.io
103.94.206.53,(.*) Fortinet FortiGate
172.64.37.109,Cloudflare
185.170.112.173,dot.kruemelmonster.xyz
172.64.37.254,Cloudflare
23.247.213.38,dns.nextdns.io
103.40.136.42,(.*) Fortinet FortiGate
59.29.229.234,com.apple.dnssd-proxy (.*) Apple Inc. Networking
207.183.163.183,com.apple.dnssd-proxy (.*) Apple Inc. Networking
185.228.171.93,.cleanbrowsing.org
119.18.7.42,router Paradox
162.159.36.26,Cloudflare
157.90.114.189,doh.dev.andronkyr.com
188.86.24.36,(.*) Fortinet FortiGate
213.112.172.184,unknown
194.156.133.251,Hostker LLC
155.248.241.160,Oracle Cloud Infrastructure (.*)
1.252.28.104,com.apple.dnssd-proxy (.*) Apple Inc. Networking
101.202.19.213,(.*) Fortinet FortiGate
58.224.147.238,com.apple.dnssd-proxy (.*) Apple Inc. Networking
107.182.235.110,dns.nextdns.io
83.68.167.29,(.*) Fortinet FortiGate
194.29.187.122,pdcm.eu.org
37.224.34.159,(.*) Fortinet FortiGate
68.109.249.132,(.*) Fortinet FortiGate
45.90.29.231,dns.nextdns.io
76.76.2.36,ecdsa.controld.com
96.3.177.42,com.apple.dnssd-proxy (.*) Apple Inc. Networking
138.68.53.233,pihole.cloverinteractive.com
185.228.169.146,.cleanbrowsing.org
45.90.30.49,dns.nextdns.io
114.160.217.1,(.*) Fortinet FortiGate
45.90.31.226,dns.nextdns.io
178.117.74.172,Telenet N.V.
23.247.215.106,dns.nextdns.io
213.57.70.106,(.*) Fortinet FortiGate
79.226.226.203,pi-reklamebau.duckdns.org
172.64.36.157,Cloudflare
120.159.48.191,(.*) Fortinet FortiGate
162.159.36.140,Cloudflare
193.135.142.5,dox-s.swisscom.ch Swisscom Schweiz AG
39.125.199.245,broadNnet
200.123.7.46,(.*) Fortinet FortiGate
45.195.77.94,(.*) Fortinet FortiGate
185.228.171.13,.cleanbrowsing.org
77.137.111.98,(.*) Fortinet FortiGate
190.145.13.42,(.*) Fortinet FortiGate
77.137.105.19,(.*) Fortinet FortiGate
23.247.212.49,dns.nextdns.io
23.247.215.68,dns.nextdns.io
213.183.62.11,dns.nextdns.io
23.247.215.38,dns.nextdns.io
187.216.133.20,(.*) Fortinet FortiGate
45.90.28.6,dns.nextdns.io
221.138.94.144,com.apple.dnssd-proxy (.*) Apple Inc. Networking
191.98.194.58,(.*) Fortinet FortiGate
59.7.46.161,.sccv.shop
142.93.26.112,pfsense1.includeits.net
23.247.215.75,dns.nextdns.io
110.235.231.10,hyd-tdc-bngs-20
65.99.169.64,com.apple.dnssd-proxy (.*) Apple Inc. Networking
175.205.30.174,com.apple.dnssd-proxy (.*) Apple Inc. Networking
23.247.213.224,dns.nextdns.io
83.142.189.79,(.*) Fortinet FortiGate
23.247.213.133,dns.nextdns.io
94.237.42.60,unknown
45.90.31.108,dns.nextdns.io
103.94.206.104,(.*) Fortinet FortiGate
47.103.166.53,.alidns.com 阿里巴巴（中国）网络技术有限公司
183.6.120.90,(.*) Fortinet FortiGate
219.250.15.66,com.apple.dnssd-proxy (.*) Apple Inc. Networking
104.225.25.163,dns1.eerodns.com
129.236.134.245,com.apple.dnssd-proxy (.*) Apple Inc. Networking
85.224.102.245,com.apple.dnssd-proxy (.*) Apple Inc. Networking
185.228.170.165,.cleanbrowsing.org
211.206.27.38,com.apple.dnssd-proxy (.*) Apple Inc. Networking
211.205.150.215,broadNnet
221.143.217.200,com.apple.dnssd-proxy (.*) Apple Inc. Networking
119.252.93.133,dns.nextdns.io
23.247.215.89,dns.nextdns.io
77.137.105.122,(.*) Fortinet FortiGate
1.226.131.27,com.apple.dnssd-proxy (.*) Apple Inc. Networking
172.64.36.80,Cloudflare
150.107.78.147,.uitmholdings.com
20.113.135.24,holdtheguard.germanywestcentral.cloudapp.azure.com
218.75.4.130,Linhai Feiyi Netbar
119.92.127.235,(.*) Fortinet FortiGate
60.251.132.77,(.*) Fortinet FortiGate
209.151.156.148,sjo.sucofa.com
213.57.70.118,(.*) Fortinet FortiGate
219.255.186.25,com.apple.dnssd-proxy (.*) Apple Inc. Networking
45.90.31.250,dns.nextdns.io
209.124.106.181,(.*) Fortinet FortiGate
92.35.207.119,com.apple.dnssd-proxy (.*) Apple Inc. Networking
162.159.46.247,Cloudflare
130.162.209.252,Oracle Cloud Infrastructure (.*)
185.228.171.175,.cleanbrowsing.org
45.90.30.188,dns.nextdns.io
209.183.157.226,com.apple.dnssd-proxy (.*) Apple Inc. Networking
5.2.75.196,adguard.armalo.net
45.90.28.112,dns.nextdns.io
37.123.183.159,Bahnhof AB
45.90.28.86,dns.nextdns.io
193.7.176.1,rr1.bawue.net
45.90.30.136,dns.nextdns.io
171.103.16.29,(.*) Fortinet FortiGate
124.222.52.187,jimmyshjj.top
146.19.14.147,dns.nextdns.io
78.130.207.202,vodidan.com
185.228.169.168,.cleanbrowsing.org
218.238.109.32,com.apple.dnssd-proxy (.*) Apple Inc. Networking
89.248.187.35,(.*) Fortinet FortiGate
185.228.168.4,.cleanbrowsing.org
84.211.137.198,com.apple.dnssd-proxy (.*) Apple Inc. Networking
45.159.98.216,dns1.dnsfilter.com
147.78.178.172,dns.sb
205.185.127.108,.patchysicp.xyz
58.152.186.102,com.apple.dnssd-proxy (.*) Apple Inc. Networking
58.233.169.116,com.apple.dnssd-proxy (.*) Apple Inc. Networking
121.168.108.116,com.apple.dnssd-proxy (.*) Apple Inc. Networking
91.228.8.6,secure.cheeloo.net
212.45.67.80,.carbg.com
212.79.107.112,turris
45.90.31.148,dns.nextdns.io
77.137.106.14,(.*) Fortinet FortiGate
201.163.81.90,(.*) Fortinet FortiGate
178.20.145.41,(.*) Fortinet FortiGate
70.253.80.242,dns.sarak.as
23.247.214.167,dns.nextdns.io
111.223.91.163,(.*) Fortinet FortiGate
